"cleaned_hm","predicted_category","age","country","gender","marital"
"I went running","exercise","25","USA","m","single"
"I motivated myself to workout for the first time in awhile. ","exercise","23.0","USA","f","single"
"My run went well this morning. I had a good time and I saw deer in the park.","exercise","26.0","USA","f","single"
"I went out for a long walk","exercise","53","GBR","m","married"
"I went for a run around the block.","exercise","30","USA","f","single"
"i went to the gym ","exercise","25","USA","m","single"
"I ran on the treadmill for an entire hour and didn't feel winded or overly exhausted.","exercise","36","USA","m","single"
"I actually had time today to do a workout for 30 minutes.","exercise","38.0","USA","f","single"
"Went for a jog around my neighborhood in the early morning. It felt great to witness the sun rise as I finished.  ","exercise","21","USA","m","single"
"I went to the gym almost everyday this month. My goal is to go at least 5 times a week and spend at least 40 minutes lifting weights or doing cardio. I feel great when I achieve my goal.","exercise","27","USA","m","single"
"I have been running a lot more ","exercise","25","USA","m","single"
"When my thighs started to shrink from a low protein diet. I ate low carb and worked out hard 7 days a week 2 hours a day. I ended up super skinny except with a big butt and thighs (athletic). I look funny though because I am extremely, extremely thin on top and a size 6 or 8 on the bottom.","exercise","39.0","USA","f","married"
"I was able to run 9 miles without stopping even though I hadn't run all winter.","exercise","25","GBR","f","single"
"going to the gym","exercise","25","USA","m","single"
"2.  I completed a 4 miles run in a time that was my personal best.","exercise","50","USA","f","single"
"i went to a yoga camp conducted by an organisation and the place where it conducted itself provides a refreshing feeling and after the yoga session felt very happy some newness","exercise","29","IND","f","married"
"I did some vigorous exercise today, which recharged me. ","exercise","45.0","USA","m","divorced"
"I had a great day at the climbing gym and really toasted all of my muscles.","exercise","27","USA","f","single"
"The fact that I have found time to start exercising again on a frequent basis. ","exercise","34.0","USA","m","married"
"I finally completed 100 push-ups and 70 squat-ups.","exercise","24","USA","m","single"
"I got up this morning a went for a 3 mile run outside.","exercise","50","USA","f","married"
"When I actually got up and did a full exercise routine this morning.","exercise","27","USA","f","married"
"I was happy when I completed my Yoga workout last night.","exercise","28.0","USA","f","single"
"I was able to get my workout in on a very busy day","exercise","32","USA","m","married"
"I was able to go to the gym even though I was tired and I felt it was a victory. ","exercise","27","USA","m","single"
"I went on a long and successful run","exercise","25.0","USA","m","single"
"Getting in a really big workout.","exercise","29","USA","m","single"
"Morning jogging .","exercise","22","USA","m","single"
"Getting to do yoga unexpectedly. ","exercise","21","USA","f","single"
"I worked out for an hour.","exercise","42","USA","f","single"
"Today I went to the gym with someone I'd never been to the gym with before. We had fun working out together.","exercise","22","USA","m","single"
"I remember that I was finally able to exercise at a gym. ","exercise","34","USA","m","single"
"I WENT TO YOGA","exercise","28","IND","m","married"
"I meditated and was able to focus on my breathing.","exercise","36","USA","m","married"
"Yesterday I was able to do 25 minutes of cardio.","exercise","39","USA","m","married"
"I got up real early in the morning and didn't feel tired for a change and went and worked out. ","exercise","27","USA","m","single"
"I started the day yesterday morning by warming up with an exercise routine called Classical Stretch. I'd been sick for over a week and this was the first morning I felt energized enough to exercise. Felt very good and I felt happy.","exercise","51","USA","f","divorced"
"I was able to go to the gym for the first time in a while yesterday, which always makes me feel happy.","exercise","24","USA","m","married"
"I found time in my schedule to workout. ","exercise","30","USA","m","single"
"I had a great workout yesterday! It took longer than normal, but I felt great afterward.","exercise","18.0","USA","m","single"
"I went on a really good run.","exercise","23","USA","f","single"
"I ran four miles at the gym after work.","exercise","31","USA","f","single"
"I ran four miles this morning with a good time.","exercise","26.0","USA","f","single"
"I learned I can take special classes with my gym membership I didn't think I could take.","exercise","25","USA","f","single"
"I walked over 2 miles yesterday.","exercise","33","USA","f","single"
"I hit a new  PR in the gym","exercise","23","USA","m","single"
"I WENT TO YOGA","exercise","27","IND","m","married"
"I worked out at the gym.","exercise","41","USA","m","single"
"i was happy that i was able to have good exercise at the gym.","exercise","24","USA","m","single"
"I went running at the gym!","exercise","30.0","USA","f","single"
"I completed a 3 mile walk in under an hour.","exercise","53","USA","f","divorced"
"I did a personal training session at the gym that made me feel very strong and fit!","exercise","26","USA","f","single"
"I had a really nice workout after going up in weight on all of my lifts","exercise","39","USA","m","single"
"I went for a jog. I didn't think I was ever going to be able to run again and I didn't run for very long, but I was still able to do it and hope that I can continue. ","exercise","25","USA","f","single"
"After work this morning, I went to the gym and finally had the chance to get better to talk with someone that I have been wanting to get the chance to know for quite some time now. ","exercise","29","USA","m","single"
"i had an intense workout","exercise","27","USA","m","single"
"I went to the gym even though I had planned to take the evening off.","exercise","24.0","USA","m","single"
"I had a satisfying workout.","exercise","34","USA","m","single"
"I had a good workout today with plenty of excercises.","exercise","34","USA","m","single"
"skipped the gym","exercise","36","USA","f","married"
"Going for a run made me happy.","exercise","29","USA","f","single"
"An event that made me happy was when I was able to gain more muscle in my arms after working out in the gym.","exercise","22","USA","m","single"
"I went to the gym after a long day.","exercise","24","USA","m","single"
"I went to Yoga and Meditaion class.","exercise","26","IND","f","single"
"When I was jogging in the park.","exercise","25","IND","m","single"
"Purchased a Bicycle for exercising and keep my body fit.","exercise","31","IND","m","single"
"I managed to run for 5 miles today. ","exercise","25","USA","m","single"
"I was working out yesterday and after the workout I was pretty happy.","exercise","21","USA","m","single"
"GOt time to workout alone without any interrupting ","exercise","29","USA","f","married"
"I went to yoga class.","exercise","26","IND","f","married"
"Attended Yoga classes in the morning. Learnt Pranayama.","exercise","40","IND","m","married"
"Purchased a Bicycle for exercising and keep my body fit.","exercise","31","IND","m","single"
"I WENT TO YOGA","exercise","27","IND","m","married"
"When I went for a run early this morning, everything was quiet and I felt great afterwards.","exercise","26","SRB","m","single"
"I had a good workout, one that if felt hurt me good.","exercise","25.0","USA","m","single"
"Woke up 5:45, Meditated, cooked a healthy breakfast, worked on things I love, went to the gym, cooked a healthy dinner and slept peacefully. Repeat!","exercise","26","USA","m","married"
"I had a great yoga session this evening. ","exercise","28.0","USA","m","single"
"Woke up 5:45, Meditated, cooked a healthy breakfast, worked on things I love, went to the gym, cooked a healthy dinner and slept peacefully.","exercise","32","IND","m","single"
"I completed a bodypump workout that I found too difficult last week.","exercise","29.0","GBR","f","single"
"I had a great run. Got some good exercising","exercise","29","USA","m","single"
"I took a 5 mile bike ride.","exercise","25","USA","m","single"
"I finished the Fool's Run 10K in 46:45 this morning.","exercise","51","USA","m","married"
"I went  to the gym to train and my trainer complimented me.","exercise","24.0","USA","m","single"
"I went on a run in the woods.","exercise","50.0","USA","f","single"
"I was able to have a great work out at the gym.  I feel really good.","exercise","32","USA","m","single"
"I participated in a yoga class that left me feeling string, centered, and connected.","exercise","45.0","USA","f","single"
"Getting in a good workout made me happy.","exercise","29","USA","f","single"
"When I finished a 3 mile run.","exercise","26","USA","m","married"
"I ran 4 miles at the park.","exercise","34.0","USA","f","single"
"I went on a long bike ride, about 22 miles, while I listened to music","exercise","23.0","USA","m","single"
"Feeling myself get stronger at yoga today because I've been doing it more often lately. ","exercise","21","USA","f","single"
"I got to go to the gym and exercise. ","exercise","48.0","USA","f","married"
"I went to the gym and saw the guy that gives me butterflies every time I see him.","exercise","34.0","USA","f","separated"
"I was able to exercise by playing tennis and basketball.","exercise","34.0","USA","f","married"
"This morning I ran the mile for the first time this year. After running the mile I felt great, and I was happy. But soon after I started to get tired, and knew that I was going to ache later.","exercise","32.0","USA","m","single"
"I went to Yoga Class.","exercise","26","IND","f","single"
"I WENT TO YOGA","exercise","27","IND","f","single"
"I had a good workout yesterday morning. ","exercise","41","USA","f","married"
"Started to workout again. It hurts a bit but finally some progress.","exercise","22","IND","m","single"
"I went for a bike ride in the sunshine. ","exercise","26","USA","f","single"
"Completed 5 six pack exercise routines today i am getting stronger and lighter.","exercise","28","USA","m","single"
"I went to zumba class at my gym.","exercise","46.0","USA","f","married"
"I went to the gym and had a good workout for about an hour and it made me felt good. ","exercise","33.0","USA","m","single"
"I went to the gym and had a good workout.","exercise","47.0","USA","m","married"
"I did a good workout at the gym that was really thorough.","exercise","29","USA","f","single"
"I love play Soccer with my Friends in the Stadium ","exercise","22","USA","m","single"
"Doing some yoga in the morning.","exercise","29","USA","m","single"
"I went to the gym and worked out.","exercise","41","USA","m","single"
"Did a 2hr run in thw snow but with amazing weather that has warmed up a little, I made my own path and thought it was really fun just running wherever I wanted.","exercise","30","USA","f","single"
"I had a great workout at the gym. ","exercise","27","USA","m","single"
"I went on a run for the first time in 2 weeks, and the sunny weather during my run put me in a good mood.","exercise","29","USA","f","married"
"I went for a great run in the cold weather.","exercise","44","USA","m","single"
"I got a nice workout in!","exercise","34","USA","m","single"
"I went swimming at a local YMCA.","exercise","66.0","USA","m","divorced"
"I daily walk in the evening but probably after 6 months today I went for a morning walk.","exercise","32.0","IND","m","married"
"I WENT TO YOGA","exercise","27","IND","m","married"
"I WENT TO YOGA","exercise","27","IND","m","married"
"Working out at the gym with only a few other people there.","exercise","28","USA","m","single"
"I went for a long distance run.","exercise","23","USA","m","single"
"I started to walk as a exercise everyday ","exercise","38.0","USA","m","married"
"Going for a run","exercise","29","USA","m","married"
"I had a refreshing soothing shower after the gym.","exercise","29","USA","f","single"
"I decided to start going back to the gym to lose weight.","exercise","29.0","USA","m","single"
"had a nice and revitalizing workout","exercise","27","USA","m","single"
"I had a great workout yesterday that lasted a little over two hours, leaving me feeling awesome.","exercise","29","USA","m","single"
"I went to the gym after a couple weeks of not going.","exercise","33","USA","f","divorced"
"Doing yoga in the morning.","exercise","29","USA","m","single"
"i got in a really good leg workout, and realized that i can still jump pretty well.","exercise","29.0","USA","m","married"
"It was bright and sunny on a run I did this morning.","exercise","28","USA","m","single"
"I was able to run 2 miles on my morning run without taking a break.","exercise","28","USA","m","single"
"I went on a five-mile run on a sunny day (today). ","exercise","35","USA","f","divorced"
"Took the dogs for a walk.","exercise","57.0","USA","m","married"
"I was able to walk two miles today, which I have not been able to do in a long while","exercise","33","USA","f","married"
"I went for a 3.5 mile run through the park on a sunny day.","exercise","28","USA","f","single"
"I went for a run this morning and felt good. ","exercise","35","USA","m","married"
"I WENT TO YOGA","exercise","27","IND","m","married"
"I worked up to 2 miles on my morning jog. ","exercise","36","USA","m","single"
"I went to hot yoga today. I haven't exercised in a while and haven't felt motivated to work out but I was determined to go today and through it was hard and I had to take several rests I am so happy I went! It felt so good and my body and my mind feel refreshed! Such an infusion of energy!","exercise","28.0","USA","f","single"
"I went to a yoga class for the first time since last month and it was fantastic and relaxing.","exercise","21","USA","f","single"
"I have been watching my weight and have been doing well with exercising, so today I treated myself to a jelly doughnut.","exercise","67","USA","m","divorced"
"I went to gym this morning and beat my personal mile run time on the treadmill. ","exercise","35.0","USA","m","married"
"I went for a run along the river.","exercise","30.0","USA","f","single"
"I was happy after I finished my workout because I felt accomplished.","exercise","18","USA","m","single"
"An event that made me happy was going for an hour run in this nice weather today. ","exercise","21.0","USA","f","single"
"I did not plan on going to the gym today, but I ran on the treadmill for about half an hour.","exercise","24.0","USA","m","single"
"Doing yoga in the evening.","exercise","23.0","USA","m","single"
"I had a really good workout this morning.","exercise","25.0","USA","f","single"
"I went on a nice run outside.","exercise","27","USA","f","single"
"I went to a yoga class.","exercise","31","USA","f","single"
"went for bike ride ","exercise","24","IND","m","married"
"While on a hike, had an incredible view of the entire city","exercise","19","USA","m","single"
"I WENT TO YOGA","exercise","27","IND","m","married"
"Passed my CPR training yesterday.","exercise","23.0","USA","m","married"
"Purchased a Bicycle for exercising and keep my body fit.","exercise","31","IND","m","single"
"The sun was shining when I went for my long run yesterday morning.","exercise","28.0","UMI","m","single"
"Having a good workout at the gym.","exercise","28","USA","m","single"
"I felt happy leaving the gym after doing cardio this morning.","exercise","21.0","USA","f","single"
"I did my longest run yet 25 minutes.","exercise","22","USA","m","single"
"I went to yoga. ","exercise","26.0","USA","f","single"
"Tonight I went to the gym, this made me happy because working out and being at the gym makes me feel good about myself. ","exercise","26.0","USA","m","single"
"Exercising for more than 40 minutes with the stationary bike and an elliptical.","exercise","27.0","USA","m","single"
"I started doing exercise again, after a break of 2 months.","exercise","35.0","IND","f","married"
"Went to the gym. ","exercise","33.0","USA","m","married"
"I went to Yoga and Meditation class.","exercise","26","IND","f","single"
"I went to yoga class.","exercise","26","IND","f","married"
"I went to the gym and had a good workout and the weather was perfect.","exercise","29","USA","m","single"
"Yesterday, I woke up and went to the gym to exercise.","exercise","39","USA","m","married"
"I had a good workout.","exercise","48","USA","m","married"
"Attended Yoga classes in the morning. Learnt about Surya Namaskar.","exercise","40","IND","m","married"
"I set a new personal record at the gym. ","exercise","30.0","USA","m","married"
"While at the park I was able to get a nice workout in, which made me feel better about myself.  ","exercise","37.0","USA","f","single"
"I had a good workout at the gym where I was able to meet my goals.","exercise","37","USA","m","single"
"I did yoga this morning to try to make my back and neck more limber.","exercise","28.0","USA","m","single"
"I went to the gym and ran 2 miles today.","exercise","32.0","USA","f","single"
"I worked out and I had more energy after my workout than towards the start of my workout since I was dreading the workout.","exercise","22","USA","m","single"
"Doing my evening workout and making progress with weight loss.","exercise","33","USA","m","married"
"An event that made me happy was being able to go to the gym after having been sick for a week and not being able to work out.","exercise","53.0","USA","m","married"
"An event that made me happy in the past 24 hours was working out longer than an hour at the gym.","exercise","30","USA","f","married"
"I went for a run today in the sun and felt very energetic and exhilarated. ","exercise","30.0","USA","m","single"
"I got in a great workout after work. ","exercise","30.0","USA","m","single"
"I went to my yoga class that I hadn't been to in a while and saw my favorite teacher.","exercise","37","USA","m","single"
"Yesterday i attended one hour yoga class program and i was very happy to know how to do yoga properly.","exercise","35","IND","m","married"
"I took myself on a long hike.","exercise","32","USA","f","single"
"I was happy to get a good workout in today.","exercise","31","USA","m","married"
"I went to the gym a hit multiple personal records.","exercise","23.0","USA","m","single"
"I went to the gym together and worked out for 2 hours on cardio. ","exercise","23.0","USA","f","single"
"Going to the gym to work out made me happy.","exercise","26","USA","f","single"
"Getting a full boxing workout today. I worked out a good sweat and I was glad that I finished it despite procrastinating.","exercise","29.0","USA","m","married"
"I had a great workout at the gym and I overhead pressed an extra ten pounds then last week","exercise","23.0","USA","m","single"
"I had a really good workout.","exercise","22.0","USA","m","single"
"I got a good workout in this morning. ","exercise","30.0","USA","m","married"
"I went to workout today for the first time in 3 months, after my workout i ran on the track and became very tired and stopped running. Then i pushed myself to keep on walking for the rest of the mile even though i was already exhausted.","exercise","25.0","USA","m","single"
"I WENT TO YOGA","exercise","27","IND","m","married"
"Satisfying and fast training run on a beautiful cool spring evening.","exercise","40","GBR","m","single"
"Last night I was able to walk a mile with little to no fatigue.","exercise","39","USA","m","married"
"I went for a run in the park, then did some calisthenics exercises.","exercise","32","MDA","m","single"
"I had a great workout last night and feel great about my level of effort. ","exercise","34","USA","m","married"
"I completed a 37 mile road bike ride with an awesome average speed.","exercise","54","USA","f","married"
"Purchased a Bicycle for exercising and keep my body fit.","exercise","31","IND","m","single"
"I went to the gym.I had a great work out and felt amazing after.I worked out for almost two hours and it was very stress free great feeling.","exercise","35.0","USA","m","married"
"I took my dogs out for a walk and they were so happy to be outside running around and the exercise made me feel good.","exercise","37.0","USA","f","married"
"I had a very good workout.","exercise","29","VNM","m","single"
"Yesterday I ran 4 miles while blasting my new Ipod Shuffle that I got for Christmas.  I enjoy working out, but was really tired yesterday and did not want to do anything.  I made myself get up, get out and get running and though I was very tired and sluggish starting, my music quickly got me in the mood and I knocked a whole minute and a half off my pace time.  It made me feel wonderful, especially since I'm training for a 5K coming up the beginning of May.","exercise","47.0","USA","f","single"
"Today, I got out of work early so, I went for a long jog.","exercise","22.0","USA","m","single"
"I went running this morning before it rained and it was a good workout.","exercise","24.0","USA","m","single"
"I went to the gym and got in a great workout.","exercise","44","USA","m","single"
"Tonight I left the gym just in time to avoid the rain.","exercise","31","USA","m","single"
"i was able to get some decent exercise in today.","exercise","36","USA","m","married"
"I went to the gym and in the mirror reflection I think I looked good.","exercise","26","USA","m","single"
"I had an excellent workout at the gym, it was leg day and I love leg day!","exercise","48","USA","f","married"
"Ran my workout in a record time. ","exercise","28","USA","m","single"
"I went on a 5mi run through a pretty neighborhood.","exercise","35","USA","m","married"
"I found a really fun new workout video that I will be incorporating into my weekly exercise routine.","exercise","30","USA","f","single"
"I worked out at the gym for almost an hour and did both cardio and circuit strength training.","exercise","48.0","USA","f","married"
"I went for a run for the first time in a long time","exercise","25.0","USA","m","single"
"I worked out.","exercise","25","USA","m","single"
"I went jogging to the park","exercise","26","USA","f","single"
"I worked out at the gym for over an hour.","exercise","28","USA","m","single"
"Going to the gym and working out ","exercise","28","USA","m","single"
"WE PLAYED BEACH VOLLEYBALL","exercise","24","IND","m","married"
"i worked out","exercise","22.0","USA","m","single"
"I had a good workout. ","exercise","26","USA","m","single"
"I walked two miles today.","exercise","39.0","USA","m","married"
"I was at the gym today and hit a new personal squat record! It made me happy because I've been tracking my gym progress and it's nice to see results. ","exercise","30.0","USA","m","married"
"I meditated when I woke up this morning","exercise","23.0","USA","m","single"
"I was happy when I did a exercise this morning.","exercise","21","USA","f","single"
"went to the gym","exercise","32","USA","f","married"
"I worked out today.","exercise","27.0","USA","m","single"
"My puppy and I went for a really nice 3 mile walk this morning.","exercise","48","USA","f","married"
"I went for a good jog when it was getting cool out.","exercise","26","USA","f","single"
"Today was my second day of going for a walk (in a row) because I'm trying to be more active and get in shape and I felt pretty good about that.","exercise","33.0","USA","f","single"
"I ran 5 miles.","exercise","29","USA","m","single"
"Running 2 miles at the gym.","exercise","24","USA","m","single"
"I had a perfect post-workout protein shake.","exercise","22.0","USA","m","single"
"I WENT TO YOGA","exercise","27","IND","m","married"
"started doing Yoga from today.","exercise","53","IND","f","married"
"I don't really care for exercising, but I do it because I feel like I should and after I finished my exercising for today, I was happy because I was done and satisfied with myself for having done it, no matter how much I procrastinated about doing it.","exercise","41.0","USA","f","single"
"I took one of my dogs on a mile run at the park.","exercise","29","USA","m","married"
"I was very happy after completing my exercise routine. My legs are feeling stronger and I have more energy to complete more repetitions of my strengthening program.","exercise","34.0","USA","f","married"
"start jogging in the morning","exercise","38.0","USA","m","married"
"Going to the gym made me happy","exercise","25.0","USA","m","single"
"I was happy when I woke up early today and could spend more time at the gym.","exercise","23.0","USA","m","single"
"I exercised at today morning it made me happy.","exercise","24","USA","m","single"
"God is great; I woke up this morning,alive and healthy, with no muscle soreness from yesterday's workout! ","exercise","27","USA","f","single"
"going to jogging in the morning with my pet","exercise","22","USA","m","single"
"Today I started yoga practice .","exercise","30.0","IND","f","married"
"I went to my favorite gym to workout with cardio machines","exercise","44","THA","m","married"
"I was able to walk 1.37 miles with little to no fatigue.","exercise","39","USA","m","married"
"A training run in which everything felt good, really enjoyed the feel of my new shoes and I set a few personal bests.","exercise","40","GBR","m","single"
"I went to the gym last night, which always makes me feel better.","exercise","24","USA","m","married"
"I went for an early morning walk","exercise","30","USA","o","married"
"I ran 11 miles outside along a river while listening to a really good podcast.","exercise","22","USA","f","single"
"Going to the gym and having a really good workout.","exercise","28","USA","m","single"
"I hit a new PR on shoulders at the gym.","exercise","23","USA","m","single"
"I finished a 9.3 mile run yesterday afternoon. The breeze coming off the river was pleasant.","exercise","26","USA","m","single"
"Exercised over lunch break yesterday.","exercise","29.0","USA","m","single"
"I was able to go on a 3 mile walk before work and finish before it started raining.","exercise","35.0","USA","f","married"
"I went for a run.","exercise","35.0","AUS","f","married"
"I ran 4 miles.","exercise","34.0","USA","f","single"
"I finally went to the free weight side of the gym I visit, and used the free weights there. I performed well and had good form.","exercise","28.0","USA","m","married"
"Going to the gym and working out","exercise","21.0","USA","f","single"
"I went for a bicycle ride after a long time and thoroughly enjoyed the weather and also the exercise I got.","exercise","46.0","USA","m","single"
"I went and worked out at the gym.","exercise","31","USA","f","single"
"I finished my workout at the gym and my muscles felt really tight which means I got a really good workout in.","exercise","29.0","USA","m","married"
"I lifted more weight on my bicep workout then I ever had before.","exercise","39","USA","m","married"
"I am happy that I went for a run yesterday. ","exercise","34","USA","m","married"
"I got to the gym early and was able to get a pretty decent workout","exercise","37.0","USA","f","single"
"Working out yesterday morning.","exercise","29","USA","m","married"
"I went running in the morning.","exercise","30","MKD","m","single"
"I finished a 20 mile bike ride and didn't pass out.","exercise","42","USA","m","married"
"Getting a great workout in.","exercise","29","USA","m","single"
"After being sick for over a week, I went for a 4 mile run and it felt pretty good. ","exercise","48","USA","f","married"
"I went for a run this morning in my home state of Maryland.","exercise","36.0","USA","m","married"
"I had a very good workout.","exercise","29","VNM","m","single"
"I went for a jog in the evening and enjoyed the nice weather.","exercise","30.0","USA","m","married"
"Drove for over 10 miles for fun.","exercise","25","USA","m","single"
"I went to yoga class.","exercise","26","IND","f","married"
"I walked 2 miles on the treadmill.","exercise","37.0","USA","f","married"
"Enjoyed lifting weights at the gym.","exercise","23.0","USA","m","single"
"Doing 5 reps of 80 pound dumbbells for shoulder press today at the gym.","exercise","20","USA","m","single"
"Took a 1 hour walk today knowing there is rain in the forecast for Thursday as I wanted to get some exercise while I could ","exercise","61","USA","f","married"
"I went to gym at morning it made me fresh, confidant and happy.","exercise","24","USA","m","single"
"I went to the gym and did a really hard workout that made me feel great and accomplished afterward.","exercise","28.0","USA","f","single"
"When me and my wife worked out at the gym this morning.","exercise","68","USA","m","married"
"At the beginning of my workout, I was able to perform two muscle-ups in a row. It is a great achievement for my personal ability.","exercise","28.0","USA","m","married"
"I ran 6 miles.","exercise","34.0","USA","f","single"
"I went to the gym","exercise","23.0","USA","m","single"
"I went to the gym and got a crazy muscle pump, I felt amazing after.","exercise","28","USA","m","single"
"Getting my act together and seeing a personal trainer to get started working out. ","exercise","30.0","CAN","m","married"
"I went to the gym and set a new lifting record.","exercise","27","USA","m","married"
"Working out at the gym.","exercise","28","USA","m","single"
"I ran out for cardio early in the morning ","exercise","31","USA","m","single"
"I played tennis with my son and went to the gym.","exercise","44","THA","m","married"
"I was happy when I went for my jog this morning and found $20.","exercise","20","USA","f","married"
"I went jogging and felt great!","exercise","49","USA","f","married"
"I worked out by running on the treadmill and lifting some weights.","exercise","26","USA","m","single"
"My student transitioning well from gym wben its usually a hard time. ","exercise","31","USA","f","single"
"I went to the stadium and had exercise.My body get flexible by doing this exercise.","exercise","34","IND","f","married"
"I exercised a couple miles today. ","exercise","26.0","USA","m","single"
"I found $100! Two $50 dollars just lying in the street after I came back from the gym. I'm so happy I went to the gym and it seems I got a reward from the Universe for doing so!","exercise","28.0","USA","f","single"
"I love play Soccer with my Friends in the Stadium ","exercise","22","USA","m","single"
"I went on a long walk and let some of my problems fall away.  ","exercise","33","USA","m","single"
"I went on a 3-mile run outside and then practiced throwing with one of my teammates.","exercise","19.0","USA","m","single"
"I had a great workout even though I was hesitant to go. ","exercise","27","USA","m","single"
"I had an energizing morning workout.","exercise","26","USA","f","single"
"I had the best work out at the gym yesterday.","exercise","35.0","USA","f","divorced"
"I was able to skip, without guilt,  the early morning gym class that we normally go to every week because the toddler didn't feel well.","exercise","35.0","USA","f","married"
"I completed a workout at the gym.","exercise","30.0","USA","m","married"
"In the last day I went to the gym to find that it was nearly empty. Didn't have to weight around for any weights.","exercise","27.0","USA","m","married"
"I ran two miles in my fastest time ever.","exercise","33","USA","m","married"
"I had a good workout. ","exercise","26","USA","m","single"
"Had a two hour workout.","exercise","25","USA","m","single"
"At the gym, a cute girl winked at me.  I was really happy to receive the attention.","exercise","32","USA","m","single"
